E_step,E_exx,E_eyy,E_exy,E_rix,E_riy,E_rjx,E_rjy,E_rr_absx,E_rr_absy,E_rr_abs,E_rr_minx,E_rr_miny,E_rr_min,E_rr_fixx,E_rr_fixy,E_rr_fix,E_v1x,E_v1y,E_v2x,E_v2y,E_Lx,E_Ly,E_Dxy,
 44.0000, 0.0000 , 0.0000 , 0.4400 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -4.4000, 2.5000 , 5.0606 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 4.4000 , 10.0000, 10.0000, 10.0000, 4.4000 ,
 45.0000, 0.0000 , 0.0000 , 0.4500 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -4.5000, 2.5000 , 5.1478 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 4.5000 , 10.0000, 10.0000, 10.0000, 4.5000 ,
 46.0000, 0.0000 , 0.0000 , 0.4600 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -4.6000, 2.5000 , 5.2355 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 4.6000 , 10.0000, 10.0000, 10.0000, 4.6000 ,
 47.0000, 0.0000 , 0.0000 , 0.4700 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -4.7000, 2.5000 , 5.3235 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 4.7000 , 10.0000, 10.0000, 10.0000, 4.7000 ,
 48.0000, 0.0000 , 0.0000 , 0.4800 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -4.8000, 2.5000 , 5.4120 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 4.8000 , 10.0000, 10.0000, 10.0000, 4.8000 ,
 49.0000, 0.0000 , 0.0000 , 0.4900 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -4.9000, 2.5000 , 5.5009 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 4.9000 , 10.0000, 10.0000, 10.0000, 4.9000 ,
 50.0000, 0.0000 , 0.0000 , 0.5000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, -5.0000, 2.5000 , 5.5902 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 5.0000 , 10.0000, 10.0000, 10.0000, 5.0000 ,
 51.0000, 0.0000 , 0.0000 , 0.5100 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 4.9000 , 2.5000 , 5.5009 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -4.9000, 10.0000, 10.0000, 10.0000, -4.9000,
 52.0000, 0.0000 , 0.0000 , 0.5200 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 4.8000 , 2.5000 , 5.4120 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -4.8000, 10.0000, 10.0000, 10.0000, -4.8000,
 53.0000, 0.0000 , 0.0000 , 0.5300 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 4.7000 , 2.5000 , 5.3235 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , -4.7000, 10.0000, 10.0000, 10.0000, -4.7000,
