A_step,A_exx,A_eyy,A_exy,A_rix,A_riy,A_rjx,A_rjy,A_rr_absx,A_rr_absy,A_rr_abs,A_rr_minx,A_rr_miny,A_rr_min,A_rr_fixx,A_rr_fixy,A_rr_fix,A_v1x,A_v1y,A_v2x,A_v2y,A_Lx,A_Ly,A_Dxy,
 20.0000, 0.0000 , 0.2000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.0000, 0.0000 , 15.0000, 15.0000, 0.0000 , -5.0000, 5.0000 , 0.0000 , 5.0000 , 5.0000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 21.0000, 0.0000 , 0.2100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.1250, 0.0000 , 15.1250, 15.1250, 0.0000 , -4.8750, 4.8750 , 0.0000 , 5.1250 , 5.1250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 22.0000, 0.0000 , 0.2200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.2500, 0.0000 , 15.2500, 15.2500, 0.0000 , -4.7500, 4.7500 , 0.0000 , 5.2500 , 5.2500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 23.0000, 0.0000 , 0.2300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.3750, 0.0000 , 15.3750, 15.3750, 0.0000 , -4.6250, 4.6250 , 0.0000 , 5.3750 , 5.3750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 24.0000, 0.0000 , 0.2400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.5000, 0.0000 , 15.5000, 15.5000, 0.0000 , -4.5000, 4.5000 , 0.0000 , 5.5000 , 5.5000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 25.0000, 0.0000 , 0.2500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.6250, 0.0000 , 15.6250, 15.6250, 0.0000 , -4.3750, 4.3750 , 0.0000 , 5.6250 , 5.6250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 26.0000, 0.0000 , 0.2600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.7500, 0.0000 , 15.7500, 15.7500, 0.0000 , -4.2500, 4.2500 , 0.0000 , 5.7500 , 5.7500 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 27.0000, 0.0000 , 0.2700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 15.8750, 0.0000 , 15.8750, 15.8750, 0.0000 , -4.1250, 4.1250 , 0.0000 , 5.8750 , 5.8750 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 28.0000, 0.0000 , 0.2800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.0000, 0.0000 , 16.0000, 16.0000, 0.0000 , -4.0000, 4.0000 , 0.0000 , 6.0000 , 6.0000 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
 29.0000, 0.0000 , 0.2900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.1250, 0.0000 , 16.1250, 16.1250, 0.0000 , -3.8750, 3.8750 , 0.0000 , 6.1250 , 6.1250 , 10.0000, 0.0000 , 0.0000 , 10.0000, 10.0000, 10.0000, 0.0000 ,
