B_step,B_exx,B_eyy,B_exy,B_rix,B_riy,B_rjx,B_rjy,B_rr_absx,B_rr_absy,B_rr_abs,B_rr_minx,B_rr_miny,B_rr_min,B_rr_fixx,B_rr_fixy,B_rr_fix,B_v1x,B_v1y,B_v2x,B_v2y,B_Lx,B_Ly,B_Dxy,
 29.0000, 0.0000 , 0.2900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.1250, 0.0000 , 16.1250, 16.1250, 2.0000 , -3.8750, 4.3607 , -4.0000, 6.1250 , 7.3154 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 30.0000, 0.0000 , 0.3000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.2500, 0.0000 , 16.2500, 16.2500, 2.0000 , -3.7500, 4.2500 , -4.0000, 6.2500 , 7.4204 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 31.0000, 0.0000 , 0.3100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.3750, 0.0000 , 16.3750, 16.3750, 2.0000 , -3.6250, 4.1401 , -4.0000, 6.3750 , 7.5260 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 32.0000, 0.0000 , 0.3200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.5000, 0.0000 , 16.5000, 16.5000, 2.0000 , -3.5000, 4.0311 , -4.0000, 6.5000 , 7.6322 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 33.0000, 0.0000 , 0.3300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.6250, 0.0000 , 16.6250, 16.6250, 2.0000 , -3.3750, 3.9231 , -4.0000, 6.6250 , 7.7389 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 34.0000, 0.0000 , 0.3400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.7500, 0.0000 , 16.7500, 16.7500, 2.0000 , -3.2500, 3.8161 , -4.0000, 6.7500 , 7.8462 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 35.0000, 0.0000 , 0.3500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.8750, 0.0000 , 16.8750, 16.8750, 2.0000 , -3.1250, 3.7102 , -4.0000, 6.8750 , 7.9540 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 36.0000, 0.0000 , 0.3600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.0000, 0.0000 , 17.0000, 17.0000, 2.0000 , -3.0000, 3.6056 , -4.0000, 7.0000 , 8.0623 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 37.0000, 0.0000 , 0.3700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.1250, 0.0000 , 17.1250, 17.1250, 2.0000 , -2.8750, 3.5022 , -4.0000, 7.1250 , 8.1710 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 38.0000, 0.0000 , 0.3800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.2500, 0.0000 , 17.2500, 17.2500, 2.0000 , -2.7500, 3.4004 , -4.0000, 7.2500 , 8.2802 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
