D_step,D_exx,D_eyy,D_exy,D_rix,D_riy,D_rjx,D_rjy,D_rr_absx,D_rr_absy,D_rr_abs,D_rr_minx,D_rr_miny,D_rr_min,D_rr_fixx,D_rr_fixy,D_rr_fix,D_v1x,D_v1y,D_v2x,D_v2y,D_Lx,D_Ly,D_Dxy,
 29.0000, 0.0000 , 0.2900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.1250, 0.0000 , 16.1250, 16.1250, 0.0000 , 3.2250 , 3.2250 , 0.0000 , 3.2250 , 3.2250 , 10.0000, 0.0000 , 0.0000 , 12.9000, 10.0000, 12.9000, 0.0000 ,
 30.0000, 0.0000 , 0.3000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.2500, 0.0000 , 16.2500, 16.2500, 0.0000 , 3.2500 , 3.2500 , 0.0000 , 3.2500 , 3.2500 , 10.0000, 0.0000 , 0.0000 , 13.0000, 10.0000, 13.0000, 0.0000 ,
 31.0000, 0.0000 , 0.3100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.3750, 0.0000 , 16.3750, 16.3750, 0.0000 , 3.2750 , 3.2750 , 0.0000 , 3.2750 , 3.2750 , 10.0000, 0.0000 , 0.0000 , 13.1000, 10.0000, 13.1000, 0.0000 ,
 32.0000, 0.0000 , 0.3200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.5000, 0.0000 , 16.5000, 16.5000, 0.0000 , 3.3000 , 3.3000 , 0.0000 , 3.3000 , 3.3000 , 10.0000, 0.0000 , 0.0000 , 13.2000, 10.0000, 13.2000, 0.0000 ,
 33.0000, 0.0000 , 0.3300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.6250, 0.0000 , 16.6250, 16.6250, 0.0000 , 3.3250 , 3.3250 , 0.0000 , 3.3250 , 3.3250 , 10.0000, 0.0000 , 0.0000 , 13.3000, 10.0000, 13.3000, 0.0000 ,
 34.0000, 0.0000 , 0.3400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.7500, 0.0000 , 16.7500, 16.7500, 0.0000 , 3.3500 , 3.3500 , 0.0000 , 3.3500 , 3.3500 , 10.0000, 0.0000 , 0.0000 , 13.4000, 10.0000, 13.4000, 0.0000 ,
 35.0000, 0.0000 , 0.3500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 16.8750, 0.0000 , 16.8750, 16.8750, 0.0000 , 3.3750 , 3.3750 , 0.0000 , 3.3750 , 3.3750 , 10.0000, 0.0000 , 0.0000 , 13.5000, 10.0000, 13.5000, 0.0000 ,
 36.0000, 0.0000 , 0.3600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.0000, 0.0000 , 17.0000, 17.0000, 0.0000 , 3.4000 , 3.4000 , 0.0000 , 3.4000 , 3.4000 , 10.0000, 0.0000 , 0.0000 , 13.6000, 10.0000, 13.6000, 0.0000 ,
 37.0000, 0.0000 , 0.3700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.1250, 0.0000 , 17.1250, 17.1250, 0.0000 , 3.4250 , 3.4250 , 0.0000 , 3.4250 , 3.4250 , 10.0000, 0.0000 , 0.0000 , 13.7000, 10.0000, 13.7000, 0.0000 ,
 38.0000, 0.0000 , 0.3800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.2500, 0.0000 , 17.2500, 17.2500, 0.0000 , 3.4500 , 3.4500 , 0.0000 , 3.4500 , 3.4500 , 10.0000, 0.0000 , 0.0000 , 13.8000, 10.0000, 13.8000, 0.0000 ,
 39.0000, 0.0000 , 0.3900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.3750, 0.0000 , 17.3750, 17.3750, 0.0000 , 3.4750 , 3.4750 , 0.0000 , 3.4750 , 3.4750 , 10.0000, 0.0000 , 0.0000 , 13.9000, 10.0000, 13.9000, 0.0000 ,
 40.0000, 0.0000 , 0.4000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.5000, 0.0000 , 17.5000, 17.5000, 0.0000 , 3.5000 , 3.5000 , 0.0000 , 3.5000 , 3.5000 , 10.0000, 0.0000 , 0.0000 , 14.0000, 10.0000, 14.0000, 0.0000 ,
 41.0000, 0.0000 , 0.4100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.6250, 0.0000 , 17.6250, 17.6250, 0.0000 , 3.5250 , 3.5250 , 0.0000 , 3.5250 , 3.5250 , 10.0000, 0.0000 , 0.0000 , 14.1000, 10.0000, 14.1000, 0.0000 ,
 42.0000, 0.0000 , 0.4200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.7500, 0.0000 , 17.7500, 17.7500, 0.0000 , 3.5500 , 3.5500 , 0.0000 , 3.5500 , 3.5500 , 10.0000, 0.0000 , 0.0000 , 14.2000, 10.0000, 14.2000, 0.0000 ,
 43.0000, 0.0000 , 0.4300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 17.8750, 0.0000 , 17.8750, 17.8750, 0.0000 , 3.5750 , 3.5750 , 0.0000 , 3.5750 , 3.5750 , 10.0000, 0.0000 , 0.0000 , 14.3000, 10.0000, 14.3000, 0.0000 ,
 44.0000, 0.0000 , 0.4400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.0000, 0.0000 , 18.0000, 18.0000, 0.0000 , 3.6000 , 3.6000 , 0.0000 , 3.6000 , 3.6000 , 10.0000, 0.0000 , 0.0000 , 14.4000, 10.0000, 14.4000, 0.0000 ,
 45.0000, 0.0000 , 0.4500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.1250, 0.0000 , 18.1250, 18.1250, 0.0000 , 3.6250 , 3.6250 , 0.0000 , 3.6250 , 3.6250 , 10.0000, 0.0000 , 0.0000 , 14.5000, 10.0000, 14.5000, 0.0000 ,
 46.0000, 0.0000 , 0.4600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.2500, 0.0000 , 18.2500, 18.2500, 0.0000 , 3.6500 , 3.6500 , 0.0000 , 3.6500 , 3.6500 , 10.0000, 0.0000 , 0.0000 , 14.6000, 10.0000, 14.6000, 0.0000 ,
 47.0000, 0.0000 , 0.4700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.3750, 0.0000 , 18.3750, 18.3750, 0.0000 , 3.6750 , 3.6750 , 0.0000 , 3.6750 , 3.6750 , 10.0000, 0.0000 , 0.0000 , 14.7000, 10.0000, 14.7000, 0.0000 ,
 48.0000, 0.0000 , 0.4800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.5000, 0.0000 , 18.5000, 18.5000, 0.0000 , 3.7000 , 3.7000 , 0.0000 , 3.7000 , 3.7000 , 10.0000, 0.0000 , 0.0000 , 14.8000, 10.0000, 14.8000, 0.0000 ,
 49.0000, 0.0000 , 0.4900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.6250, 0.0000 , 18.6250, 18.6250, 0.0000 , 3.7250 , 3.7250 , 0.0000 , 3.7250 , 3.7250 , 10.0000, 0.0000 , 0.0000 , 14.9000, 10.0000, 14.9000, 0.0000 ,
 50.0000, 0.0000 , 0.5000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.7500, 0.0000 , 18.7500, 18.7500, 0.0000 , 3.7500 , 3.7500 , 0.0000 , 3.7500 , 3.7500 , 10.0000, 0.0000 , 0.0000 , 15.0000, 10.0000, 15.0000, 0.0000 ,
 51.0000, 0.0000 , 0.5100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 18.8750, 0.0000 , 18.8750, 18.8750, 0.0000 , 3.7750 , 3.7750 , 0.0000 , 3.7750 , 3.7750 , 10.0000, 0.0000 , 0.0000 , 15.1000, 10.0000, 15.1000, 0.0000 ,
 52.0000, 0.0000 , 0.5200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.0000, 0.0000 , 19.0000, 19.0000, 0.0000 , 3.8000 , 3.8000 , 0.0000 , 3.8000 , 3.8000 , 10.0000, 0.0000 , 0.0000 , 15.2000, 10.0000, 15.2000, 0.0000 ,
 53.0000, 0.0000 , 0.5300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 19.1250, 0.0000 , 19.1250, 19.1250, 0.0000 , 3.8250 , 3.8250 , 0.0000 , 3.8250 , 3.8250 , 10.0000, 0.0000 , 0.0000 , 15.3000, 10.0000, 15.3000, 0.0000 ,
