C_step,C_exx,C_eyy,C_exy,C_rix,C_riy,C_rjx,C_rjy,C_rr_absx,C_rr_absy,C_rr_abs,C_rr_minx,C_rr_miny,C_rr_min,C_rr_fixx,C_rr_fixy,C_rr_fix,C_v1x,C_v1y,C_v2x,C_v2y,C_Lx,C_Ly,C_Dxy,
 28.0000, 0.0000 , 0.2800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -0.3000, 0.3000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 12.8000, 10.0000, 12.8000, 0.0000 ,
 29.0000, 0.0000 , 0.2900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -0.4000, 0.4000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 12.9000, 10.0000, 12.9000, 0.0000 ,
 30.0000, 0.0000 , 0.3000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -0.5000, 0.5000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 13.0000, 10.0000, 13.0000, 0.0000 ,
 31.0000, 0.0000 , 0.3100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -0.6000, 0.6000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 13.1000, 10.0000, 13.1000, 0.0000 ,
 32.0000, 0.0000 , 0.3200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -0.7000, 0.7000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 13.2000, 10.0000, 13.2000, 0.0000 ,
 33.0000, 0.0000 , 0.3300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -0.8000, 0.8000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 13.3000, 10.0000, 13.3000, 0.0000 ,
 34.0000, 0.0000 , 0.3400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -0.9000, 0.9000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 13.4000, 10.0000, 13.4000, 0.0000 ,
 35.0000, 0.0000 , 0.3500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -1.0000, 1.0000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 13.5000, 10.0000, 13.5000, 0.0000 ,
 36.0000, 0.0000 , 0.3600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -1.1000, 1.1000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 13.6000, 10.0000, 13.6000, 0.0000 ,
 37.0000, 0.0000 , 0.3700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -1.2000, 1.2000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 13.7000, 10.0000, 13.7000, 0.0000 ,
 38.0000, 0.0000 , 0.3800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -1.3000, 1.3000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 13.8000, 10.0000, 13.8000, 0.0000 ,
 39.0000, 0.0000 , 0.3900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -1.4000, 1.4000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 13.9000, 10.0000, 13.9000, 0.0000 ,
 40.0000, 0.0000 , 0.4000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -1.5000, 1.5000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 14.0000, 10.0000, 14.0000, 0.0000 ,
 41.0000, 0.0000 , 0.4100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -1.6000, 1.6000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 14.1000, 10.0000, 14.1000, 0.0000 ,
 42.0000, 0.0000 , 0.4200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -1.7000, 1.7000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 14.2000, 10.0000, 14.2000, 0.0000 ,
 43.0000, 0.0000 , 0.4300 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -1.8000, 1.8000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 14.3000, 10.0000, 14.3000, 0.0000 ,
 44.0000, 0.0000 , 0.4400 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -1.9000, 1.9000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 14.4000, 10.0000, 14.4000, 0.0000 ,
 45.0000, 0.0000 , 0.4500 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -2.0000, 2.0000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 14.5000, 10.0000, 14.5000, 0.0000 ,
 46.0000, 0.0000 , 0.4600 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -2.1000, 2.1000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 14.6000, 10.0000, 14.6000, 0.0000 ,
 47.0000, 0.0000 , 0.4700 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -2.2000, 2.2000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 14.7000, 10.0000, 14.7000, 0.0000 ,
 48.0000, 0.0000 , 0.4800 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -2.3000, 2.3000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 14.8000, 10.0000, 14.8000, 0.0000 ,
 49.0000, 0.0000 , 0.4900 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -2.4000, 2.4000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 14.9000, 10.0000, 14.9000, 0.0000 ,
 50.0000, 0.0000 , 0.5000 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -2.5000, 2.5000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 15.0000, 10.0000, 15.0000, 0.0000 ,
 51.0000, 0.0000 , 0.5100 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -2.6000, 2.6000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 15.1000, 10.0000, 15.1000, 0.0000 ,
 52.0000, 0.0000 , 0.5200 , 0.0000 , 0.0000 , 0.0000 , 0.0000 , 12.5000, 0.0000 , 12.5000, 12.5000, 0.0000 , -2.7000, 2.7000 , 0.0000 , 2.5000 , 2.5000 , 10.0000, 0.0000 , 0.0000 , 15.2000, 10.0000, 15.2000, 0.0000 ,
