F_step,F_exx,F_eyy,F_exy,F_rix,F_riy,F_rjx,F_rjy,F_rr_absx,F_rr_absy,F_rr_abs,F_rr_minx,F_rr_miny,F_rr_min,F_rr_fixx,F_rr_fixy,F_rr_fix,F_v1x,F_v1y,F_v2x,F_v2y,F_Lx,F_Ly,F_Dxy,
 33.0000, 0.0000 , 0.0000 , 0.3300 , 0.0000 , 0.0000 , 4.1250 , 12.5000, 4.1250 , 12.5000, 13.1630, 0.8250 , 2.5000 , 2.6326 , 0.8250 , 2.5000 , 2.6326 , 10.0000, 0.0000 , 3.3000 , 10.0000, 10.0000, 10.0000, 3.3000 ,
 34.0000, 0.0000 , 0.0000 , 0.3400 , 0.0000 , 0.0000 , 4.2500 , 12.5000, 4.2500 , 12.5000, 13.2027, 0.8500 , 2.5000 , 2.6405 , 0.8500 , 2.5000 , 2.6405 , 10.0000, 0.0000 , 3.4000 , 10.0000, 10.0000, 10.0000, 3.4000 ,
 35.0000, 0.0000 , 0.0000 , 0.3500 , 0.0000 , 0.0000 , 4.3750 , 12.5000, 4.3750 , 12.5000, 13.2435, 0.8750 , 2.5000 , 2.6487 , 0.8750 , 2.5000 , 2.6487 , 10.0000, 0.0000 , 3.5000 , 10.0000, 10.0000, 10.0000, 3.5000 ,
 36.0000, 0.0000 , 0.0000 , 0.3600 , 0.0000 , 0.0000 , 4.5000 , 12.5000, 4.5000 , 12.5000, 13.2853, 0.9000 , 2.5000 , 2.6571 , 0.9000 , 2.5000 , 2.6571 , 10.0000, 0.0000 , 3.6000 , 10.0000, 10.0000, 10.0000, 3.6000 ,
 37.0000, 0.0000 , 0.0000 , 0.3700 , 0.0000 , 0.0000 , 4.6250 , 12.5000, 4.6250 , 12.5000, 13.3282, 0.9250 , 2.5000 , 2.6656 , 0.9250 , 2.5000 , 2.6656 , 10.0000, 0.0000 , 3.7000 , 10.0000, 10.0000, 10.0000, 3.7000 ,
 38.0000, 0.0000 , 0.0000 , 0.3800 , 0.0000 , 0.0000 , 4.7500 , 12.5000, 4.7500 , 12.5000, 13.3721, 0.9500 , 2.5000 , 2.6744 , 0.9500 , 2.5000 , 2.6744 , 10.0000, 0.0000 , 3.8000 , 10.0000, 10.0000, 10.0000, 3.8000 ,
 39.0000, 0.0000 , 0.0000 , 0.3900 , 0.0000 , 0.0000 , 4.8750 , 12.5000, 4.8750 , 12.5000, 13.4170, 0.9750 , 2.5000 , 2.6834 , 0.9750 , 2.5000 , 2.6834 , 10.0000, 0.0000 , 3.9000 , 10.0000, 10.0000, 10.0000, 3.9000 ,
 40.0000, 0.0000 , 0.0000 , 0.4000 , 0.0000 , 0.0000 , 5.0000 , 12.5000, 5.0000 , 12.5000, 13.4629, 1.0000 , 2.5000 , 2.6926 , 1.0000 , 2.5000 , 2.6926 , 10.0000, 0.0000 , 4.0000 , 10.0000, 10.0000, 10.0000, 4.0000 ,
 41.0000, 0.0000 , 0.0000 , 0.4100 , 0.0000 , 0.0000 , 5.1250 , 12.5000, 5.1250 , 12.5000, 13.5098, 1.0250 , 2.5000 , 2.7020 , 1.0250 , 2.5000 , 2.7020 , 10.0000, 0.0000 , 4.1000 , 10.0000, 10.0000, 10.0000, 4.1000 ,
 42.0000, 0.0000 , 0.0000 , 0.4200 , 0.0000 , 0.0000 , 5.2500 , 12.5000, 5.2500 , 12.5000, 13.5577, 1.0500 , 2.5000 , 2.7115 , 1.0500 , 2.5000 , 2.7115 , 10.0000, 0.0000 , 4.2000 , 10.0000, 10.0000, 10.0000, 4.2000 ,
